                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96241,                0.81508,                 1.2627,                0.91519,                0.83457,                0.91102,                0.69259,                0.87288,                0.59192,                 1.1938,               0.008878,               0.008878,               0.008878
                     36,                0.94472,                0.80049,                 1.2523,                0.92926,                0.84888,                0.92004,                0.70693,                0.85783,                0.56889,                 1.1861,               0.008845,               0.008845,               0.008845
                     37,                0.93897,                0.78961,                 1.2459,                0.92767,                0.84295,                0.92133,                0.70378,                0.86407,                0.56947,                 1.1927,               0.008812,               0.008812,               0.008812
                     38,                0.94309,                0.77793,                 1.2475,                0.92388,                0.85686,                0.91953,                0.70979,                0.85577,                0.56097,                 1.1849,               0.008779,               0.008779,               0.008779
                     39,                0.93484,                0.78479,                 1.2418,                0.92959,                0.84811,                0.92194,                0.71423,                0.83425,                0.54319,                 1.1659,               0.008746,               0.008746,               0.008746
                     40,                0.93092,                0.77964,                 1.2414,                0.94801,                0.83621,                0.92148,                0.71838,                0.83334,                0.54666,                 1.1625,               0.008713,               0.008713,               0.008713
                     41,                0.92649,                0.77198,                 1.2392,                0.93035,                0.84813,                0.92085,                0.71428,                0.84374,                0.54621,                 1.1727,                0.00868,                0.00868,                0.00868
                     42,                0.92044,                0.76049,                 1.2343,                0.92468,                0.85557,                0.92354,                0.72144,                 0.8314,                0.53795,                   1.16,               0.008647,               0.008647,               0.008647
                     43,                 0.9215,                0.76102,                 1.2283,                0.92986,                 0.8618,                0.92769,                0.72821,                0.81496,                0.53144,                 1.1514,               0.008614,               0.008614,               0.008614
                     44,                0.90376,                0.74797,                 1.2222,                0.92858,                0.85892,                0.92316,                0.72774,                0.80968,                0.52195,                 1.1446,               0.008581,               0.008581,               0.008581
                     45,                0.91102,                0.75558,                  1.227,                0.92536,                0.87157,                0.92774,                0.72874,                0.80784,                0.51639,                 1.1447,               0.008548,               0.008548,               0.008548
                     46,                0.90419,                0.74274,                 1.2233,                0.91909,                0.87264,                0.92629,                0.73138,                0.79386,                0.51326,                  1.134,               0.008515,               0.008515,               0.008515
                     47,                0.90129,                0.73987,                 1.2197,                0.94596,                0.85433,                0.92879,                0.73803,                0.78505,                0.51178,                  1.124,               0.008482,               0.008482,               0.008482
                     48,                0.90033,                0.75191,                 1.2184,                0.94003,                0.86596,                0.93015,                0.73558,                0.79839,                0.50945,                 1.1279,               0.008449,               0.008449,               0.008449
