                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85797,                0.70461,                 1.1992,                0.92702,                0.86881,                0.93063,                0.74241,                0.77126,                0.50021,                 1.1113,               0.003268,               0.003268,               0.003268
                     36,                0.84519,                0.69249,                 1.1909,                  0.928,                0.87773,                0.93284,                0.74332,                0.77127,                0.49527,                 1.1096,                0.00307,                0.00307,                0.00307
                     37,                0.83065,                0.67151,                 1.1703,                0.93073,                0.87239,                0.93223,                0.74256,                0.76908,                0.48978,                  1.103,               0.002872,               0.002872,               0.002872
                     38,                0.82159,                0.66846,                 1.1729,                0.94004,                0.87355,                 0.9332,                0.74862,                0.75474,                0.48374,                  1.095,               0.002674,               0.002674,               0.002674
                     39,                 0.8159,                0.66196,                 1.1707,                0.93698,                0.87369,                0.93447,                0.75388,                0.74532,                  0.485,                 1.0896,               0.002476,               0.002476,               0.002476
                     40,                0.81093,                0.65418,                 1.1704,                0.93655,                0.88169,                0.93279,                0.75037,                 0.7498,                0.47786,                 1.0892,               0.002278,               0.002278,               0.002278
                     41,                0.80491,                0.64561,                 1.1638,                0.94802,                0.87859,                0.93586,                0.75855,                0.73569,                0.46917,                 1.0805,                0.00208,                0.00208,                0.00208
                     42,                0.79124,                0.63212,                 1.1548,                0.95327,                0.87398,                0.93601,                0.76027,                0.72196,                0.46746,                 1.0705,               0.001882,               0.001882,               0.001882
                     43,                0.78228,                0.62984,                 1.1491,                0.95432,                0.87613,                0.93771,                0.76406,                0.71875,                0.45595,                 1.0647,               0.001684,               0.001684,               0.001684
                     44,                0.77238,                0.61529,                 1.1452,                0.94622,                0.88287,                0.93567,                0.76356,                0.71773,                  0.455,                 1.0684,               0.001486,               0.001486,               0.001486
                     45,                0.76381,                0.61743,                 1.1418,                0.94892,                0.88129,                0.93856,                 0.7678,                0.70323,                0.44628,                 1.0572,               0.001288,               0.001288,               0.001288
                     46,                0.75929,                0.60579,                 1.1347,                0.95604,                0.88029,                0.93937,                0.77244,                0.69723,                 0.4414,                   1.05,                0.00109,                0.00109,                0.00109
                     47,                 0.7529,                0.60287,                 1.1346,                0.94789,                0.88815,                0.93969,                0.77246,                0.69359,                0.44099,                 1.0482,               0.000892,               0.000892,               0.000892
                     48,                0.75816,                0.60241,                 1.1374,                0.95284,                0.88868,                0.94001,                0.77408,                0.68839,                0.43483,                 1.0454,               0.000694,               0.000694,               0.000694
                     49,                0.74582,                0.59289,                 1.1317,                0.95101,                0.88736,                0.94105,                 0.7747,                0.68469,                0.43346,                 1.0426,               0.000496,               0.000496,               0.000496
